id,name,sport_type,display_type,activity_type_display_name,private,bike_id,athlete_gear_id,start_date,start_date_local_raw,start_time,start_day,distance,distance_raw,long_unit,short_unit,moving_time,moving_time_raw,elapsed_time,elapsed_time_raw,trainer,static_map,has_latlng,commute,elevation_gain,elevation_unit,elevation_gain_raw,description,activity_url,activity_url_for_twitter,twitter_msg,is_new,is_changing_type,suffer_score,tags/4,tags/5,tags/6,tags/7,tags/8,tags/9,tags/10,selected_tag_type,flagged,hide_power,hide_heartrate,leaderboard_opt_out,visibility,tags/0,tags/1,tags/2,tags/3
10847930814,Morning Run,Run,Run,Run,false,,,"Tue, 2/27/2024",1709023817,2024-02-27T14:50:17+0000,Tue,2.04,3293.03,miles,mi,20:29,1229,20:29,1229,true,,false,,0,ft,0,,https://www.strava.com/activities/10847930814,https://www.strava.com/activities/10847930814?utm_content=118093999&utm_medium=referral&utm_source=twitter,went for a 2.0 mile Run.,true,false,51,false,true,false,false,false,false,false,,false,false,false,false,everyone,,,,
10844501901,Evening Weight Training,WeightTraining,Weight Training,Weight Training,false,,,"Mon, 2/26/2024",1708975021,2024-02-27T01:17:01+0000,Mon,0,0,miles,mi,23:08,1388,23:08,1388,true,,false,,0,ft,0,,https://www.strava.com/activities/10844501901,https://www.strava.com/activities/10844501901?utm_content=118093999&utm_medium=referral&utm_source=twitter,went for a 0 mile Weight Training.,true,false,8,false,false,false,false,false,false,false,,false,false,false,false,everyone,false,false,false,
10844399472,Evening Ride,Ride,Ride,Ride,false,,,"Mon, 2/26/2024",1708972524,2024-02-27T00:35:24+0000,Mon,0,0,miles,mi,35:04,2104,35:04,2104,true,,false,,0,ft,0,,https://www.strava.com/activities/10844399472,https://www.strava.com/activities/10844399472?utm_content=118093999&utm_medium=referral&utm_source=twitter,went for a 0 mile Ride.,true,false,20,false,false,true,false,false,false,false,,false,false,false,false,everyone,false,,,
10841160292,Afternoon Walk,Walk,Walk,Walk,false,,,"Sun, 2/25/2024",1708868147,2024-02-25T19:35:47+0000,Sun,1.01,1625.74,miles,mi,19:44,1184,19:44,1184,false,https://d3o5xota0a1fcr.cloudfront.net/v6/maps/AJM7F3AKEJTOR5B3A7S6SWLSVHGOKBQVXDGTD5HJNJULW7VEECG35MSLRVVN5MY326FZPTTDSLNWG6VLKLHIKYM5A7ZSJXJI4SYA====,true,,61,ft,18.6,,https://www.strava.com/activities/10841160292,https://www.strava.com/activities/10841160292?utm_content=118093999&utm_medium=referral&utm_source=twitter,went for a 1.0 mile Walk.,true,false,4,false,false,false,false,false,false,false,,false,false,false,false,everyone,false,false,false,
10836739357,Lunch Run,Run,Run,Run,false,,,"Sun, 2/25/2024",1708865047,2024-02-25T18:44:07+0000,Sun,4.63,7461.75,miles,mi,49:49,2989,51:18,3078,false,https://d3o5xota0a1fcr.cloudfront.net/v6/maps/HVSZH5LW2AGTCY5V5YB7QG623RNTDFKFIHF5YIL22Q2PPOBX7GAHICSTF6E3DKAWA5OMXGTKO4KCD5BCLN6FWPFJKDNBNUPQHLJA====,true,,89,ft,27.2,,https://www.strava.com/activities/10836739357,https://www.strava.com/activities/10836739357?utm_content=118093999&utm_medium=referral&utm_source=twitter,went for a 4.6 mile Run.,true,false,159,false,true,false,false,false,false,false,,false,false,false,false,everyone,,,,
10829648087,Afternoon Walk,Walk,Walk,Walk,false,,,"Sat, 2/24/2024",1708784106,2024-02-24T20:15:06+0000,Sat,2.15,3464.8,miles,mi,47:48,2868,47:48,2868,true,,false,,0,ft,0,,https://www.strava.com/activities/10829648087,https://www.strava.com/activities/10829648087?utm_content=118093999&utm_medium=referral&utm_source=twitter,went for a 2.1 mile Walk.,true,false,64,false,false,false,false,false,false,false,,false,false,false,false,everyone,false,false,false,
10823098962,Afternoon Run,Run,Run,Run,false,,,"Fri, 2/23/2024",1708705324,2024-02-23T22:22:04+0000,Fri,4.59,7393.19,miles,mi,1:03:48,3828,1:03:48,3828,true,,false,,0,ft,0,,https://www.strava.com/activities/10823098962,https://www.strava.com/activities/10823098962?utm_content=118093999&utm_medium=referral&utm_source=twitter,went for a 4.5 mile Run.,true,false,73,false,true,false,false,false,false,false,,false,false,false,false,everyone,,,,
10810804500,Afternoon Run,Run,Run,Run,false,,,"Wed, 2/21/2024",1708533368,2024-02-21T22:36:08+0000,Wed,2.35,3796.43,miles,mi,30:57,1857,30:57,1857,true,,false,,0,ft,0,,https://www.strava.com/activities/10810804500,https://www.strava.com/activities/10810804500?utm_content=118093999&utm_medium=referral&utm_source=twitter,went for a 2.3 mile Run.,true,false,73,false,true,false,false,false,false,false,,false,false,false,false,everyone,,,,
10804499619,Evening Row,Rowing,Rowing,Rowing,false,,,"Tue, 2/20/2024",1708454168,2024-02-21T00:36:08+0000,Tue,0,0,meters,m,12:51,771,12:51,771,true,,false,,0,ft,0,,https://www.strava.com/activities/10804499619,https://www.strava.com/activities/10804499619?utm_content=118093999&utm_medium=referral&utm_source=twitter,went for a 0 mile Rowing.,true,false,19,false,false,false,false,false,false,false,,false,false,false,false,everyone,false,false,false,
10804435111,Afternoon Ride,Ride,Ride,Ride,false,,,"Tue, 2/20/2024",1708451782,2024-02-20T23:56:22+0000,Tue,0,0,miles,mi,36:52,2212,36:52,2212,true,,false,,0,ft,0,,https://www.strava.com/activities/10804435111,https://www.strava.com/activities/10804435111?utm_content=118093999&utm_medium=referral&utm_source=twitter,went for a 0 mile Ride.,true,false,41,false,false,true,false,false,false,false,,false,false,false,false,everyone,false,,,
